ano,regiao,uf_sigla,municipio,categoria,nivel_atencao,numero_prof_padronizado
2018,Região Centro-Oeste,GO,Novo Gama,Agente Comunitário de Saúde,Primária,72.0
2018,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,Primária,2.0
2009,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Biólogo,Secundária,0.5
2009,Região Centro-Oeste,GO,Valparaíso de Goiás,Psicólogo,Primária,1.35
2017,Região Centro-Oeste,GO,Cidade Ocidental,Psicólogo,Primária,1.5
2017,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Cirurgião Dentista,Secundária,4.05
2025,Região Centro-Oeste,GO,Cristalina,Nutricionista,Secundária,3.0
2014,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Enfermagem,Secundária,10.25
2014,Região Centro-Oeste,GO,Cristalina,Médico,Terciária,10.225
2021,Região Centro-Oeste,GO,Novo Gama,Técnico ou Auxiliar de Enfermagem,Secundária,28.2
2021,Região Centro-Oeste,GO,Valparaíso de Goiás,Médico,OUTROS/MÚLTIPLOS,1.05
2019,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico em Radiologia e Imagenologia,Secundária,4.275
2019,Região Centro-Oeste,GO,Águas Lindas de Goiás,Enfermeiro,OUTROS/MÚLTIPLOS,10.0
2019,Região Centro-Oeste,GO,Novo Gama,Psicólogo,Secundária,1.5
2026,Região Centro-Oeste,GO,Cristalina,Nutricionista,Secundária,4.0
2026,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico ou Auxiliar de Enfermagem,Secundária,168.25
2011,Região Centro-Oeste,GO,Valparaíso de Goiás,Médico Veterinário,OUTROS/MÚLTIPLOS,1.5
2023,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico em Radiologia e Imagenologia,Secundária,11.95
2023,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Assistente Social,Secundária,1.5
2016,Região Centro-Oeste,GO,Luziânia,Biólogo,OUTROS/MÚLTIPLOS,0.75
2010,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Secundária,44.5
2013,Região Centro-Oeste,GO,Águas Lindas de Goiás,Biólogo,Terciária,1.0
2013,Região Centro-Oeste,GO,Luziânia,Assistente Social,Terciária,1.0
2015,Região Centro-Oeste,GO,Cristalina,Técnico em Farmácia,OUTROS/MÚLTIPLOS,1.0
2022,Região Centro-Oeste,GO,Cristalina,Fonoaudiólogo,Primária,1.75
2022,Região Centro-Oeste,GO,Valparaíso de Goiás,Enfermeiro,Terciária,36.25
2020,Região Centro-Oeste,GO,Cristalina,Biomédico,Terciária,0.2
2024,Região Centro-Oeste,GO,Luziânia,Assistente Social,Secundária,9.25
2024,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Técnico ou Auxiliar de Enfermagem,Secundária,6.1
2018,Região Centro-Oeste,GO,Cristalina,Assistente Social,Primária,0.5
2018,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico em Farmácia,Terciária,7.25
2025,Região Centro-Oeste,GO,Águas Lindas de Goiás,Biomédico,Terciária,1.6
2025,Região Centro-Oeste,GO,Cristalina,Farmacêutico,Terciária,5.4
2025,Região Centro-Oeste,GO,Valparaíso de Goiás,Farmacêutico,Primária,13.0
2021,Região Centro-Oeste,GO,Águas Lindas de Goiás,Psicólogo,Secundária,21.5
2019,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Primária,1.25
2019,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Agente Comunitário de Saúde,Primária,83.0
2019,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico ou Auxiliar de Enfermagem,Secundária,130.0
2026,Região Centro-Oeste,GO,Águas Lindas de Goiás,Assistente Social,Primária,9.75
2026,Região Centro-Oeste,GO,Águas Lindas de Goiás,Fonoaudiólogo,OUTROS/MÚLTIPLOS,0.75
2026,Região Centro-Oeste,GO,Novo Gama,Médico Veterinário,Primária,1.55
2026,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Médico,Primária,22.5
2016,Região Centro-Oeste,GO,Águas Lindas de Goiás,Assistente Social,Secundária,1.5
2016,Região Centro-Oeste,GO,Cristalina,Médico Veterinário,OUTROS/MÚLTIPLOS,1.0
2016,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Profissional de Educação Física,Primária,2.0
2016,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Técnico ou Auxiliar de Enfermagem,Secundária,4.8
2010,Região Centro-Oeste,GO,Cristalina,Fisioterapeuta,Secundária,1.35
2010,Região Centro-Oeste,GO,Luziânia,Cirurgião Dentista,Primária,21.7
2013,Região Centro-Oeste,GO,Luziânia,Terapeuta Ocupacional,Primária,1.0
